title:Just Another Team's MnK rolls - Season 19
description:Just Another Team's recommendations for Season 19. Recommended for Mouse and Keyboard.

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. tags:god-pve
dimwishlist:item=8293111&perks=1840239774,106909392,671806388,2848615171
dimwishlist:item=8293111&perks=1840239774,106909392,671806388,11612903
dimwishlist:item=8293111&perks=1840239774,106909392,1820235745,3038247973
dimwishlist:item=8293111&perks=1840239774,106909392,1820235745,2213355989
dimwishlist:item=8293111&perks=1840239774,106909392,1820235745,2848615171
dimwishlist:item=8293111&perks=1840239774,106909392,1820235745,11612903
dimwishlist:item=8293111&perks=1840239774,3230963543,3592538738,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,3592538738,2213355989
dimwishlist:item=8293111&perks=1840239774,3230963543,3592538738,2848615171
dimwishlist:item=8293111&perks=1840239774,3230963543,3592538738,11612903
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,2213355989
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,2848615171
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,11612903
dimwishlist:item=8293111&perks=1840239774,3230963543,1820235745,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,1820235745,2213355989
dimwishlist:item=8293111&perks=1840239774,3230963543,1820235745,2848615171
dimwishlist:item=8293111&perks=1840239774,3230963543,1820235745,11612903
dimwishlist:item=8293111&perks=1840239774,1087426260,3592538738,3038247973
dimwishlist:item=8293111&perks=1840239774,1087426260,3592538738,2213355989
dimwishlist:item=8293111&perks=1840239774,1087426260,3592538738,2848615171
dimwishlist:item=8293111&perks=1840239774,1087426260,3592538738,11612903
dimwishlist:item=8293111&perks=1840239774,1087426260,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,1087426260,671806388,2213355989
dimwishlist:item=8293111&perks=1840239774,1087426260,671806388,2848615171
dimwishlist:item=8293111&perks=1840239774,1087426260,671806388,11612903
dimwishlist:item=8293111&perks=1840239774,1087426260,1820235745,3038247973
dimwishlist:item=8293111&perks=1840239774,1087426260,1820235745,2213355989
dimwishlist:item=8293111&perks=1840239774,1087426260,1820235745,2848615171
dimwishlist:item=8293111&perks=1840239774,1087426260,1820235745,11612903
dimwishlist:item=8293111&perks=4090651448,106909392,3592538738,3038247973
dimwishlist:item=8293111&perks=4090651448,106909392,3592538738,2213355989
dimwishlist:item=8293111&perks=4090651448,106909392,3592538738,2848615171
dimwishlist:item=8293111&perks=4090651448,106909392,3592538738,11612903
dimwishlist:item=8293111&perks=4090651448,106909392,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,106909392,671806388,2213355989
dimwishlist:item=8293111&perks=4090651448,106909392,671806388,2848615171
dimwishlist:item=8293111&perks=4090651448,106909392,671806388,11612903
dimwishlist:item=8293111&perks=4090651448,106909392,1820235745,3038247973
dimwishlist:item=8293111&perks=4090651448,106909392,1820235745,2213355989
dimwishlist:item=8293111&perks=4090651448,106909392,1820235745,2848615171
dimwishlist:item=8293111&perks=4090651448,106909392,1820235745,11612903
dimwishlist:item=8293111&perks=4090651448,3230963543,3592538738,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,3592538738,2213355989
dimwishlist:item=8293111&perks=4090651448,3230963543,3592538738,2848615171
dimwishlist:item=8293111&perks=4090651448,3230963543,3592538738,11612903
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,2213355989
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,2848615171
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,11612903
dimwishlist:item=8293111&perks=4090651448,3230963543,1820235745,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,1820235745,2213355989
dimwishlist:item=8293111&perks=4090651448,3230963543,1820235745,2848615171
dimwishlist:item=8293111&perks=4090651448,3230963543,1820235745,11612903
dimwishlist:item=8293111&perks=4090651448,1087426260,3592538738,3038247973
dimwishlist:item=8293111&perks=4090651448,1087426260,3592538738,2213355989
dimwishlist:item=8293111&perks=4090651448,1087426260,3592538738,2848615171
dimwishlist:item=8293111&perks=4090651448,1087426260,3592538738,11612903
dimwishlist:item=8293111&perks=4090651448,1087426260,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,1087426260,671806388,2213355989
dimwishlist:item=8293111&perks=4090651448,1087426260,671806388,2848615171
dimwishlist:item=8293111&perks=4090651448,1087426260,671806388,11612903
dimwishlist:item=8293111&perks=4090651448,1087426260,1820235745,3038247973
dimwishlist:item=8293111&perks=4090651448,1087426260,1820235745,2213355989
dimwishlist:item=8293111&perks=4090651448,1087426260,1820235745,2848615171
dimwishlist:item=8293111&perks=4090651448,1087426260,1820235745,11612903
dimwishlist:item=8293111&perks=839105230,106909392,3592538738,3038247973
dimwishlist:item=8293111&perks=839105230,106909392,3592538738,2213355989
dimwishlist:item=8293111&perks=839105230,106909392,3592538738,2848615171
dimwishlist:item=8293111&perks=839105230,106909392,3592538738,11612903
dimwishlist:item=8293111&perks=839105230,106909392,671806388,3038247973
dimwishlist:item=8293111&perks=839105230,106909392,671806388,2213355989
dimwishlist:item=8293111&perks=839105230,106909392,671806388,2848615171
dimwishlist:item=8293111&perks=839105230,106909392,671806388,11612903
dimwishlist:item=8293111&perks=839105230,106909392,1820235745,3038247973
dimwishlist:item=8293111&perks=839105230,106909392,1820235745,2213355989
dimwishlist:item=8293111&perks=839105230,106909392,1820235745,2848615171
dimwishlist:item=8293111&perks=839105230,106909392,1820235745,11612903
dimwishlist:item=8293111&perks=839105230,3230963543,3592538738,3038247973
dimwishlist:item=8293111&perks=839105230,3230963543,3592538738,2213355989
dimwishlist:item=8293111&perks=839105230,3230963543,3592538738,2848615171
dimwishlist:item=8293111&perks=839105230,3230963543,3592538738,11612903
dimwishlist:item=8293111&perks=839105230,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=839105230,3230963543,671806388,2213355989
dimwishlist:item=8293111&perks=839105230,3230963543,671806388,2848615171
dimwishlist:item=8293111&perks=839105230,3230963543,671806388,11612903
dimwishlist:item=8293111&perks=839105230,3230963543,1820235745,3038247973
dimwishlist:item=8293111&perks=839105230,3230963543,1820235745,2213355989
dimwishlist:item=8293111&perks=839105230,3230963543,1820235745,2848615171
dimwishlist:item=8293111&perks=839105230,3230963543,1820235745,11612903
dimwishlist:item=8293111&perks=839105230,1087426260,3592538738,3038247973
dimwishlist:item=8293111&perks=839105230,1087426260,3592538738,2213355989
dimwishlist:item=8293111&perks=839105230,1087426260,3592538738,2848615171
dimwishlist:item=8293111&perks=839105230,1087426260,3592538738,11612903
dimwishlist:item=8293111&perks=839105230,1087426260,671806388,3038247973
dimwishlist:item=8293111&perks=839105230,1087426260,671806388,2213355989
dimwishlist:item=8293111&perks=839105230,1087426260,671806388,2848615171
dimwishlist:item=8293111&perks=839105230,1087426260,671806388,11612903
dimwishlist:item=8293111&perks=839105230,1087426260,1820235745,3038247973
dimwishlist:item=8293111&perks=839105230,1087426260,1820235745,2213355989
dimwishlist:item=8293111&perks=839105230,1087426260,1820235745,2848615171
dimwishlist:item=8293111&perks=839105230,1087426260,1820235745,11612903

//notes: leaning into the Legendary DMT vibe is probably best, with Hipfire Grip to improve the hipfire and Explosive Payload or Opening Shot for consistency/flinch tags:pvp
dimwishlist:item=8293111&perks=1482024992,3142289711,1866048759,3038247973
dimwishlist:item=8293111&perks=1482024992,3142289711,1866048759,47981717
dimwishlist:item=8293111&perks=1482024992,3142289711,671806388,3038247973
dimwishlist:item=8293111&perks=1482024992,3142289711,671806388,47981717
dimwishlist:item=8293111&perks=1482024992,3142289711,1645158859,3038247973
dimwishlist:item=8293111&perks=1482024992,3142289711,1645158859,47981717
dimwishlist:item=8293111&perks=1482024992,3230963543,1866048759,3038247973
dimwishlist:item=8293111&perks=1482024992,3230963543,1866048759,47981717
dimwishlist:item=8293111&perks=1482024992,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=1482024992,3230963543,671806388,47981717
dimwishlist:item=8293111&perks=1482024992,3230963543,1645158859,3038247973
dimwishlist:item=8293111&perks=1482024992,3230963543,1645158859,47981717
dimwishlist:item=8293111&perks=1482024992,3177308360,1866048759,3038247973
dimwishlist:item=8293111&perks=1482024992,3177308360,1866048759,47981717
dimwishlist:item=8293111&perks=1482024992,3177308360,671806388,3038247973
dimwishlist:item=8293111&perks=1482024992,3177308360,671806388,47981717
dimwishlist:item=8293111&perks=1482024992,3177308360,1645158859,3038247973
dimwishlist:item=8293111&perks=1482024992,3177308360,1645158859,47981717
dimwishlist:item=8293111&perks=1840239774,3142289711,1866048759,3038247973
dimwishlist:item=8293111&perks=1840239774,3142289711,1866048759,47981717
dimwishlist:item=8293111&perks=1840239774,3142289711,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,3142289711,671806388,47981717
dimwishlist:item=8293111&perks=1840239774,3142289711,1645158859,3038247973
dimwishlist:item=8293111&perks=1840239774,3142289711,1645158859,47981717
dimwishlist:item=8293111&perks=1840239774,3230963543,1866048759,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,1866048759,47981717
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,671806388,47981717
dimwishlist:item=8293111&perks=1840239774,3230963543,1645158859,3038247973
dimwishlist:item=8293111&perks=1840239774,3230963543,1645158859,47981717
dimwishlist:item=8293111&perks=1840239774,3177308360,1866048759,3038247973
dimwishlist:item=8293111&perks=1840239774,3177308360,1866048759,47981717
dimwishlist:item=8293111&perks=1840239774,3177308360,671806388,3038247973
dimwishlist:item=8293111&perks=1840239774,3177308360,671806388,47981717
dimwishlist:item=8293111&perks=1840239774,3177308360,1645158859,3038247973
dimwishlist:item=8293111&perks=1840239774,3177308360,1645158859,47981717
dimwishlist:item=8293111&perks=4090651448,3142289711,1866048759,3038247973
dimwishlist:item=8293111&perks=4090651448,3142289711,1866048759,47981717
dimwishlist:item=8293111&perks=4090651448,3142289711,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,3142289711,671806388,47981717
dimwishlist:item=8293111&perks=4090651448,3142289711,1645158859,3038247973
dimwishlist:item=8293111&perks=4090651448,3142289711,1645158859,47981717
dimwishlist:item=8293111&perks=4090651448,3230963543,1866048759,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,1866048759,47981717
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,671806388,47981717
dimwishlist:item=8293111&perks=4090651448,3230963543,1645158859,3038247973
dimwishlist:item=8293111&perks=4090651448,3230963543,1645158859,47981717
dimwishlist:item=8293111&perks=4090651448,3177308360,1866048759,3038247973
dimwishlist:item=8293111&perks=4090651448,3177308360,1866048759,47981717
dimwishlist:item=8293111&perks=4090651448,3177308360,671806388,3038247973
dimwishlist:item=8293111&perks=4090651448,3177308360,671806388,47981717
dimwishlist:item=8293111&perks=4090651448,3177308360,1645158859,3038247973
dimwishlist:item=8293111&perks=4090651448,3177308360,1645158859,47981717
dimwishlist:item=8293111&perks=3250034553,3142289711,1866048759,3038247973
dimwishlist:item=8293111&perks=3250034553,3142289711,1866048759,47981717
dimwishlist:item=8293111&perks=3250034553,3142289711,671806388,3038247973
dimwishlist:item=8293111&perks=3250034553,3142289711,671806388,47981717
dimwishlist:item=8293111&perks=3250034553,3142289711,1645158859,3038247973
dimwishlist:item=8293111&perks=3250034553,3142289711,1645158859,47981717
dimwishlist:item=8293111&perks=3250034553,3230963543,1866048759,3038247973
dimwishlist:item=8293111&perks=3250034553,3230963543,1866048759,47981717
dimwishlist:item=8293111&perks=3250034553,3230963543,671806388,3038247973
dimwishlist:item=8293111&perks=3250034553,3230963543,671806388,47981717
dimwishlist:item=8293111&perks=3250034553,3230963543,1645158859,3038247973
dimwishlist:item=8293111&perks=3250034553,3230963543,1645158859,47981717
dimwishlist:item=8293111&perks=3250034553,3177308360,1866048759,3038247973
dimwishlist:item=8293111&perks=3250034553,3177308360,1866048759,47981717
dimwishlist:item=8293111&perks=3250034553,3177308360,671806388,3038247973
dimwishlist:item=8293111&perks=3250034553,3177308360,671806388,47981717
dimwishlist:item=8293111&perks=3250034553,3177308360,1645158859,3038247973
dimwishlist:item=8293111&perks=3250034553,3177308360,1645158859,47981717

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. A unique scout rifle which could be pretty good. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. tags:pve,pvp
dimwishlist:item=8293111&perks=671806388,3038247973

//notes: While unfortunately Long Arm hasn’t quite stacked up as the Legendary  Dead Man’s Tale, it still shines in it’s own niche. A unique scout rifle which could be pretty good. While normally I’d suggest Rapid Hit over all others, the long reload time means that Rapid Hit falls off after only a couple of bullets reloaded. Either go into Wellspring and commit to Scout Reloaders and reload boosters, or run with Compulsive Reloader and try not go below half ammo. tags:pve
dimwishlist:item=8293111&perks=3592538738,3038247973
dimwishlist:item=8293111&perks=3592538738,2213355989
dimwishlist:item=8293111&perks=3592538738,2848615171
dimwishlist:item=8293111&perks=3592538738,11612903
dimwishlist:item=8293111&perks=671806388,3038247973
dimwishlist:item=8293111&perks=671806388,2213355989
dimwishlist:item=8293111&perks=671806388,2848615171
dimwishlist:item=8293111&perks=671806388,11612903
dimwishlist:item=8293111&perks=1820235745,3038247973
dimwishlist:item=8293111&perks=1820235745,2213355989
dimwishlist:item=8293111&perks=1820235745,2848615171
dimwishlist:item=8293111&perks=1820235745,11612903

//notes: leaning into the Legendary DMT vibe is probably best, with Hipfire Grip to improve the hipfire and Explosive Payload or Opening Shot for consistency/flinch tags:pvp
dimwishlist:item=8293111&perks=1866048759,3038247973
dimwishlist:item=8293111&perks=1866048759,47981717
dimwishlist:item=8293111&perks=671806388,3038247973
dimwishlist:item=8293111&perks=671806388,47981717
dimwishlist:item=8293111&perks=1645158859,3038247973
dimwishlist:item=8293111&perks=1645158859,47981717

//notes: An average adaptive frame made interesting by a couple of new perks, but not far and away better than current offerings. Grab a Cold Steel roll if that perk interests you, and Duelist’s Trance is a perk that can see some play in improving dps at the cost of not having the ammo economy of Relentless (assuming you get a kill before going at the boss). PvP: It’s a sword in PvP, you don’t care about the roll tags:god-pve
dimwishlist:item=396910433&perks=3666208348,269888150,1749209109,3650930298

//notes: An average adaptive frame made interesting by a couple of new perks, but not far and away better than current offerings. Grab a Cold Steel roll if that perk interests you, and Duelist’s Trance is a perk that can see some play in improving dps at the cost of not having the ammo economy of Relentless (assuming you get a kill before going at the boss). PvP: It’s a sword in PvP, you don’t care about the roll tags:pve
dimwishlist:item=396910433&perks=3666208348,269888150,1749209109,3650930298
dimwishlist:item=396910433&perks=3666208348,269888150,1749209109,3913600130
dimwishlist:item=396910433&perks=3666208348,269888150,3705817207,3650930298
dimwishlist:item=396910433&perks=3666208348,269888150,3705817207,3913600130
dimwishlist:item=396910433&perks=3666208348,52780822,1749209109,3650930298
dimwishlist:item=396910433&perks=3666208348,52780822,1749209109,3913600130
dimwishlist:item=396910433&perks=3666208348,52780822,3705817207,3650930298
dimwishlist:item=396910433&perks=3666208348,52780822,3705817207,3913600130

//notes: An average adaptive frame made interesting by a couple of new perks, but not far and away better than current offerings. Grab a Cold Steel roll if that perk interests you, and Duelist’s Trance is a perk that can see some play in improving dps at the cost of not having the ammo economy of Relentless (assuming you get a kill before going at the boss). PvP: It’s a sword in PvP, you don’t care about the roll tags:pve
dimwishlist:item=396910433&perks=1749209109,3650930298
dimwishlist:item=396910433&perks=1749209109,3913600130
dimwishlist:item=396910433&perks=3705817207,3650930298
dimwishlist:item=396910433&perks=3705817207,3913600130

//notes: An MG with good perks sadly let down a little by it’s frame. Demo + Voltshot gives the MG some excellent add clearing in Arc - although it’s arguably overtaken by Commemoration tags:god-pve
dimwishlist:item=487205709&perks=1840239774,3230963543,3523296417,2173046394

//notes: tags:god-pvp
dimwishlist:item=487205709&perks=1482024992,1885400500,247725512,2213355989

//notes: An MG with good perks sadly let down a little by it’s frame. Demo + Voltshot gives the MG some excellent add clearing in Arc - although it’s arguably overtaken by Commemoration tags:pve,pvp
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,3592538738

//notes: An MG with good perks sadly let down a little by it’s frame. Demo + Voltshot gives the MG some excellent add clearing in Arc - although it’s arguably overtaken by Commemoration tags:pve
dimwishlist:item=487205709&perks=1840239774,3230963543,3523296417,2173046394
dimwishlist:item=487205709&perks=1840239774,3230963543,3523296417,3592538738
dimwishlist:item=487205709&perks=1840239774,3230963543,3523296417,11612903
dimwishlist:item=487205709&perks=1840239774,3230963543,247725512,2173046394
dimwishlist:item=487205709&perks=1840239774,3230963543,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,3230963543,247725512,11612903
dimwishlist:item=487205709&perks=1840239774,3230963543,2848615171,2173046394
dimwishlist:item=487205709&perks=1840239774,3230963543,2848615171,3592538738
dimwishlist:item=487205709&perks=1840239774,3230963543,2848615171,11612903
dimwishlist:item=487205709&perks=1840239774,1561002382,3523296417,2173046394
dimwishlist:item=487205709&perks=1840239774,1561002382,3523296417,3592538738
dimwishlist:item=487205709&perks=1840239774,1561002382,3523296417,11612903
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,2173046394
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,11612903
dimwishlist:item=487205709&perks=1840239774,1561002382,2848615171,2173046394
dimwishlist:item=487205709&perks=1840239774,1561002382,2848615171,3592538738
dimwishlist:item=487205709&perks=1840239774,1561002382,2848615171,11612903
dimwishlist:item=487205709&perks=1840239774,1087426260,3523296417,2173046394
dimwishlist:item=487205709&perks=1840239774,1087426260,3523296417,3592538738
dimwishlist:item=487205709&perks=1840239774,1087426260,3523296417,11612903
dimwishlist:item=487205709&perks=1840239774,1087426260,247725512,2173046394
dimwishlist:item=487205709&perks=1840239774,1087426260,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,1087426260,247725512,11612903
dimwishlist:item=487205709&perks=1840239774,1087426260,2848615171,2173046394
dimwishlist:item=487205709&perks=1840239774,1087426260,2848615171,3592538738
dimwishlist:item=487205709&perks=1840239774,1087426260,2848615171,11612903
dimwishlist:item=487205709&perks=1840239774,679225683,3523296417,2173046394
dimwishlist:item=487205709&perks=1840239774,679225683,3523296417,3592538738
dimwishlist:item=487205709&perks=1840239774,679225683,3523296417,11612903
dimwishlist:item=487205709&perks=1840239774,679225683,247725512,2173046394
dimwishlist:item=487205709&perks=1840239774,679225683,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,679225683,247725512,11612903
dimwishlist:item=487205709&perks=1840239774,679225683,2848615171,2173046394
dimwishlist:item=487205709&perks=1840239774,679225683,2848615171,3592538738
dimwishlist:item=487205709&perks=1840239774,679225683,2848615171,11612903
dimwishlist:item=487205709&perks=4090651448,3230963543,3523296417,2173046394
dimwishlist:item=487205709&perks=4090651448,3230963543,3523296417,3592538738
dimwishlist:item=487205709&perks=4090651448,3230963543,3523296417,11612903
dimwishlist:item=487205709&perks=4090651448,3230963543,247725512,2173046394
dimwishlist:item=487205709&perks=4090651448,3230963543,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,3230963543,247725512,11612903
dimwishlist:item=487205709&perks=4090651448,3230963543,2848615171,2173046394
dimwishlist:item=487205709&perks=4090651448,3230963543,2848615171,3592538738
dimwishlist:item=487205709&perks=4090651448,3230963543,2848615171,11612903
dimwishlist:item=487205709&perks=4090651448,1561002382,3523296417,2173046394
dimwishlist:item=487205709&perks=4090651448,1561002382,3523296417,3592538738
dimwishlist:item=487205709&perks=4090651448,1561002382,3523296417,11612903
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,2173046394
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,11612903
dimwishlist:item=487205709&perks=4090651448,1561002382,2848615171,2173046394
dimwishlist:item=487205709&perks=4090651448,1561002382,2848615171,3592538738
dimwishlist:item=487205709&perks=4090651448,1561002382,2848615171,11612903
dimwishlist:item=487205709&perks=4090651448,1087426260,3523296417,2173046394
dimwishlist:item=487205709&perks=4090651448,1087426260,3523296417,3592538738
dimwishlist:item=487205709&perks=4090651448,1087426260,3523296417,11612903
dimwishlist:item=487205709&perks=4090651448,1087426260,247725512,2173046394
dimwishlist:item=487205709&perks=4090651448,1087426260,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,1087426260,247725512,11612903
dimwishlist:item=487205709&perks=4090651448,1087426260,2848615171,2173046394
dimwishlist:item=487205709&perks=4090651448,1087426260,2848615171,3592538738
dimwishlist:item=487205709&perks=4090651448,1087426260,2848615171,11612903
dimwishlist:item=487205709&perks=4090651448,679225683,3523296417,2173046394
dimwishlist:item=487205709&perks=4090651448,679225683,3523296417,3592538738
dimwishlist:item=487205709&perks=4090651448,679225683,3523296417,11612903
dimwishlist:item=487205709&perks=4090651448,679225683,247725512,2173046394
dimwishlist:item=487205709&perks=4090651448,679225683,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,679225683,247725512,11612903
dimwishlist:item=487205709&perks=4090651448,679225683,2848615171,2173046394
dimwishlist:item=487205709&perks=4090651448,679225683,2848615171,3592538738
dimwishlist:item=487205709&perks=4090651448,679225683,2848615171,11612903
dimwishlist:item=487205709&perks=839105230,3230963543,3523296417,2173046394
dimwishlist:item=487205709&perks=839105230,3230963543,3523296417,3592538738
dimwishlist:item=487205709&perks=839105230,3230963543,3523296417,11612903
dimwishlist:item=487205709&perks=839105230,3230963543,247725512,2173046394
dimwishlist:item=487205709&perks=839105230,3230963543,247725512,3592538738
dimwishlist:item=487205709&perks=839105230,3230963543,247725512,11612903
dimwishlist:item=487205709&perks=839105230,3230963543,2848615171,2173046394
dimwishlist:item=487205709&perks=839105230,3230963543,2848615171,3592538738
dimwishlist:item=487205709&perks=839105230,3230963543,2848615171,11612903
dimwishlist:item=487205709&perks=839105230,1561002382,3523296417,2173046394
dimwishlist:item=487205709&perks=839105230,1561002382,3523296417,3592538738
dimwishlist:item=487205709&perks=839105230,1561002382,3523296417,11612903
dimwishlist:item=487205709&perks=839105230,1561002382,247725512,2173046394
dimwishlist:item=487205709&perks=839105230,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=839105230,1561002382,247725512,11612903
dimwishlist:item=487205709&perks=839105230,1561002382,2848615171,2173046394
dimwishlist:item=487205709&perks=839105230,1561002382,2848615171,3592538738
dimwishlist:item=487205709&perks=839105230,1561002382,2848615171,11612903
dimwishlist:item=487205709&perks=839105230,1087426260,3523296417,2173046394
dimwishlist:item=487205709&perks=839105230,1087426260,3523296417,3592538738
dimwishlist:item=487205709&perks=839105230,1087426260,3523296417,11612903
dimwishlist:item=487205709&perks=839105230,1087426260,247725512,2173046394
dimwishlist:item=487205709&perks=839105230,1087426260,247725512,3592538738
dimwishlist:item=487205709&perks=839105230,1087426260,247725512,11612903
dimwishlist:item=487205709&perks=839105230,1087426260,2848615171,2173046394
dimwishlist:item=487205709&perks=839105230,1087426260,2848615171,3592538738
dimwishlist:item=487205709&perks=839105230,1087426260,2848615171,11612903
dimwishlist:item=487205709&perks=839105230,679225683,3523296417,2173046394
dimwishlist:item=487205709&perks=839105230,679225683,3523296417,3592538738
dimwishlist:item=487205709&perks=839105230,679225683,3523296417,11612903
dimwishlist:item=487205709&perks=839105230,679225683,247725512,2173046394
dimwishlist:item=487205709&perks=839105230,679225683,247725512,3592538738
dimwishlist:item=487205709&perks=839105230,679225683,247725512,11612903
dimwishlist:item=487205709&perks=839105230,679225683,2848615171,2173046394
dimwishlist:item=487205709&perks=839105230,679225683,2848615171,3592538738
dimwishlist:item=487205709&perks=839105230,679225683,2848615171,11612903

//notes: tags:pvp
dimwishlist:item=487205709&perks=1482024992,1885400500,247725512,2213355989
dimwishlist:item=487205709&perks=1482024992,1885400500,247725512,3592538738
dimwishlist:item=487205709&perks=1482024992,1561002382,247725512,2213355989
dimwishlist:item=487205709&perks=1482024992,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=1482024992,1968497646,247725512,2213355989
dimwishlist:item=487205709&perks=1482024992,1968497646,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,1885400500,247725512,2213355989
dimwishlist:item=487205709&perks=1840239774,1885400500,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,2213355989
dimwishlist:item=487205709&perks=1840239774,1561002382,247725512,3592538738
dimwishlist:item=487205709&perks=1840239774,1968497646,247725512,2213355989
dimwishlist:item=487205709&perks=1840239774,1968497646,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,1885400500,247725512,2213355989
dimwishlist:item=487205709&perks=4090651448,1885400500,247725512,3592538738
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,2213355989
dimwishlist:item=487205709&perks=4090651448,1561002382,247725512,3592538738
